what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1332365394205
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1332365394220
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1332365394788
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1332365396186
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1332365396264
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1332365396956
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1332365403107
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332365630176
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332365707796
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1332365717434
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1332365722247
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332365763051
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332365862875
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1332365922557
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1332365924292
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1332365924460
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332366006035
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332367541906
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332367543147
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332367548023
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332367658786
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332367659797
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332367661078
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332368328215
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1332368334192
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1332368334354
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332368340027
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332368341828
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332368343800
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332368388966
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1332368389198
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1332368389200
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1332368394417
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1332368396131
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332368396463
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1332368396596
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1332368396771
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332368396985
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1332368402782
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1332368402938
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332368407982
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332368616463
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1332368779930
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1332368780113
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332368806937
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1332368806978
started,bundle,org.eclipse.wb.os,1.1.0.r37x201109091012,"org.eclipse.wb.os",1332368825739
started,bundle,org.eclipse.wb.os.win32,1.1.0.r37x201109091012,"org.eclipse.wb.os.win32",1332368825764
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332368850111
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1332368875040
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1332368875261
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1332368875434
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1332368878320
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332368885938
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332368898683
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1332368937394
